                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7567,                 5.9573,                 4.1538,                  4.183,                0.00171,                0.21225,                 0.0014,                0.00048,                0.00093,                0.11582,                0.00061,                0.00014,                 3.5773,                 5.0448,                 4.2566,                 4.1245,              0.0032955,              0.0032955,              0.0032955
                      2,                 3.3209,                 4.2965,                 3.4964,                 3.7653,                0.10934,                0.12746,                0.04804,                0.01378,                0.11149,                0.10031,                0.03833,                0.01131,                 2.8616,                 4.3629,                 3.7688,                 3.3669,               0.006596,               0.006596,               0.006596
                      3,                 2.5285,                 3.6016,                 2.6557,                 2.8522,                0.04125,                0.06929,                0.01664,                0.00637,                0.03688,                 0.0742,                0.01425,                0.00512,                 2.8682,                 12.047,                 7.4314,                 3.3669,              0.0098635,              0.0098635,              0.0098635
                      4,                 2.0484,                 3.1864,                 2.1141,                 2.3256,                0.34649,                 0.3324,                0.28121,                0.12113,                0.38209,                0.33221,                0.28969,                0.12054,                 2.0828,                 3.7187,                 3.7824,                 2.4859,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8384,                 2.9268,                 1.8018,                 2.0529,                0.48277,                0.37741,                0.37646,                0.16996,                0.49068,                0.36298,                0.36857,                0.16208,                 1.9331,                 3.1764,                 2.1716,                 2.2803,               0.009802,               0.009802,               0.009802
                      6,                 1.7037,                 2.7686,                 1.6259,                 1.9075,                0.56898,                 0.5324,                0.54349,                0.27613,                0.57743,                 0.5119,                0.53184,                0.25177,                 1.7988,                 2.9522,                 1.7481,                 2.1089,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6161,                 2.6236,                 1.5019,                 1.8205,                0.65721,                0.57342,                0.60572,                0.32197,                0.66525,                0.57544,                0.60608,                0.29619,                 1.6692,                 2.8566,                 1.8628,                 1.9238,               0.009703,               0.009703,               0.009703
                      8,                 1.5691,                 2.5488,                 1.4065,                 1.7616,                0.66815,                0.59824,                0.64054,                0.35356,                0.68347,                0.59566,                0.64002,                0.31601,                 1.5861,                 2.7332,                  1.499,                 1.8652,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4967,                 2.4461,                 1.3109,                 1.6877,                0.71695,                0.64568,                0.69531,                0.40401,                0.73478,                0.63469,                0.68989,                0.36404,                 1.5388,                 2.6143,                 1.3434,                  1.782,               0.009604,               0.009604,               0.009604
                     10,                 1.4501,                 2.3874,                 1.2631,                 1.6474,                0.74557,                0.64426,                0.72071,                0.42989,                0.75433,                0.63935,                0.71253,                0.39299,                 1.4864,                 2.4868,                 1.2676,                 1.7495,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4254,                 2.3427,                 1.2113,                 1.6255,                0.75045,                0.66317,                0.73632,                0.43617,                0.74851,                0.66029,                0.72688,                0.38633,                 1.4514,                 2.5053,                 1.3756,                 1.7093,               0.009505,               0.009505,               0.009505
                     12,                 1.3861,                 2.3161,                 1.1767,                 1.5906,                0.73601,                0.66727,                0.73067,                0.43048,                0.74219,                0.66262,                0.72697,                0.39446,                 1.4718,                 2.4375,                 1.2819,                 1.7086,              0.0094555,              0.0094555,              0.0094555
